FundID,Amount,FundCloseDate,FundCloseType,RowID,LastUpdated
16361-92F,350.0,10/30/2018,Final Close,06994bb1876e256d37bd53fdf74faf2bdeaf9d963eaea942047fcb360cdcf098,12/09/2024
16405-66F,3.2,08/03/2018,Final Close,ba4a877a8e09220b1bec5d56046a7632ce5067c403b826dc0e72bafc6fa5b9de,12/09/2024
16418-80F,10.6,12/31/2018,Final Close,2d4f685bf251a78862f1d9f60564b8c971d9ea237a57e0f95de88d71a81bbd56,12/09/2024
16418-80F,,07/15/2018,First Close,c6090aa6d215b1534440e7739fb2b65dcd5860e927752fdff2f9177127d51862,12/09/2024
16420-42F,80.0,08/23/2018,Final Close,7aa3ee19ab9928b7f90e7209c9180de4beb91dc9c24aa8b607c9cc1db4bba73c,12/09/2024
16434-01F,93.27,12/13/2019,Final Close,77b28f765be0112890a7d38bcc1fc15055dc67bd3345e724b351a7dea3802bdd,12/09/2024
16434-73F,15.0,06/01/2020,First Close,a50b143eb3ecedf46bca086e772dd221a6f572988af9d35cfd7e0715356be805,12/09/2024
16435-90F,,07/05/2017,First Close,9701eb7feb113ebdc647fb4bbb849e24ef65cb0528550d45feefb3981110b0f8,12/09/2024
16437-79F,4.66849594,06/28/2018,First Close,6b0148dabaa2040614d5be41fce6cebf1d4849d70b7feee8b53496c48d047fa1,12/09/2024
16438-33F,420.0,09/13/2018,Final Close,3c43e26bc9530b10194f5575fa6dc589aaeabeafdafd68c6473cb079a8902315,12/09/2024
16453-45F,21.79153451,01/01/2018,Final Close,b03c78457537a878e20f6f03f841ac2b6788eadcfe262ced0da2d78b097176c9,12/09/2024
16450-12F,133.4,09/24/2018,Final Close,6ac6a9e94b27ededa193f5ec0fe8202120bea816501e695d4120611b047f4025,12/09/2024
16463-98F,100.0,10/09/2018,Final Close,fb213e68812bd79318f132f6aad42dc41c459bc8afd08e0b33c9240910f82387,12/09/2024
16465-24F,5.400049,10/09/2018,Final Close,971ccc3b525b9fe0fa6449ad627a2e7e658147002f145917be84c2f60e44d655,12/09/2024
16467-04F,21.0,,Final Close,352c1b04b44dd6d2903136f6daeede820ddb5e3d42b9caf6c82224dcf3216dc1,12/09/2024
16478-29F,20.6,10/30/2022,Second Close,aed14e022016e15973bff0dc4d0bc428b9716bb54c028d4f0466a8180a53ce5b,12/09/2024
16478-29F,26.0,08/31/2022,Final Close,ce12acdc894700cc1ba45e6925eeaa1d8392cd0efe2c884d6407c6f7e6c70968,12/09/2024
16478-29F,5.4,06/30/2019,First Close,e8ee978eb461070a68917be480334c174e81eca7b21d7dd8433ac91e115d5205,12/09/2024
16494-31F,12.23902741,07/01/2018,Final Close,178d7502ea596e32272cbb0224d1b887b1df153bc815f3ac800c99b3a3b54571,12/09/2024
16522-48F,120.0,01/10/2019,Final Close,a57b3c14c8bd6a45137e65ba7c2055f961c1f08010688c648d32dc7a1e03c782,12/09/2024
16523-29F,250.0,04/30/2019,Final Close,459a4c20a5676462ea9580f98fe43467f4ee4b9742d20df53b1088685f0c54d7,12/09/2024
16523-56F,1250.0,04/25/2019,Final Close,deff77a5a78bf5fb83ac0ffcc3ce22affdc3331b54171d6c8cb113c02a77825a,12/09/2024
16541-38F,41.0,04/30/2020,Final Close,82b58fba31cbb7ed6ecbf4c7cc5125c63890573457f5ca91dd55942b9a68692d,12/09/2024
16542-55F,26.36228533,01/31/2018,First Close,c150eab66e7f130a94541344b6f4930cb087784bca5eaf1242238e1543c82d1b,12/09/2024
16562-89F,77.0,09/18/2019,Interim Close,8635ca904703e110e2e805fc5845a4d14cad7ee0f6645027b80f9f995dd60dbc,12/09/2024
16566-04F,90.0,07/01/2019,Final Close,20d6bb6e5638285085f10d6c02ec2636103f8e5510d9400806403056143b1804,12/09/2024
16566-40F,50.0,05/05/2019,Final Close,c80c966ff43e20a72365a5b2080b00ca51f650eceeaa8b2210ef3518284baa58,12/09/2024
16579-54F,250.0,01/01/2016,Final Close,b5098979abd89e1916495290bc9e061b8c8f4c380221312e6dacdd3c3a2b3ef7,12/09/2024
16587-19F,26.59008722,06/28/2018,Final Close,88cf2efe9878439e2826891efdf9b26659e1f5ce4d84126daeed2a7e0d57e202,12/09/2024
16638-31F,36.39166245,05/01/2019,Final Close,6905b56fe967dd3d0cf0b1d6079b48c64d3385f3a6e3cd36f8f6602390f864b1,12/09/2024
17012-44F,50.0,01/28/2020,Final Close,f2b012e95227b2f0f203b03c5e9d6b097658083e8249dc3bc726bd7466796d4d,12/09/2024
17037-64F,,07/10/2021,Final Close,6e4dc07265ad28c95fc9cebf32c17f02399be9bbe73f872b5a403b3017ddba93,12/09/2024
17060-86F,300.0,02/04/2020,Final Close,f22d45528168160d48baafe2ff4a4030a898c4dc8fcd86283d2d7eba94d3d174,12/09/2024
17066-80F,,02/13/2020,First Close,052fbc2fd33b7f60a417615e51fc21643d818b6756c4eca0d0ecc0ccd1731e5b,12/09/2024
17070-67F,,11/15/2018,First Close,33eb98dd8a8ac87ede0c6211be14769764a3175e0ffbccd0da4f0f33faf14306,12/09/2024
17070-67F,28.0,07/18/2020,Final Close,4cd54bb3e1902158226c171dda0a43c8faca0f41a121cfc7466313573257bd08,12/09/2024
17080-21F,10.1,01/02/2023,First Close,87390a12841642702f2ecb15fcfcd28f44e43713dd873f35187899ba91caaeb0,12/09/2024
17080-21F,16.1,07/16/2023,Second Close,6c8c90eccefa1628f01b21a6b92fbe2c7c9c1c6e46bbf10121118bbef387ac82,12/09/2024
17179-03F,203.0,03/04/2020,Final Close,e413f790696b96e2075c026ffd171300752a10cc53518e63a4d3ea1c6cd33eb0,12/09/2024
17270-65F,30.0,10/26/2021,First Close,834f96c034d07d6c735394be73952c53ec29b5cc15c5ebe9b3a4e8f99965f85a,12/09/2024
17300-53F,4.062052,,Final Close,90d46d3fb6e1fd5206ec03b7ecc69fe6d8410a4873745333d949c7540a540ed2,12/09/2024
17436-34F,88.0,12/24/2019,First Close,80be449b2608c65b5c576b7cc28a47311f425a76bda03847f9d7bcd445fee16f,12/09/2024
17436-34F,185.0,01/27/2022,Final Close,9f3b34c6056bdb50d637c34198c0fac3549c3ed2804a0bab69b6f5a1eb1dbf8b,12/09/2024
17817-67F,20.0,06/12/2020,First Close,af9699f850b622728a9ded96048dbaebd00edb9b2483891692dbc8031b9ce34b,12/09/2024
17818-75F,1300.0,07/01/2020,Final Close,cd9d6767d3e6b715d17e3bb772a6e50b78b05ad6e0df04999c6ff51698c580bb,12/09/2024
17866-63F,45.0,07/15/2020,Final Close,329d55cf8591f430028104748a4c691f66f82aff0ae777e017400083a158d2c7,12/09/2024
17877-07F,500.0,07/07/2020,Final Close,29165bd8d6be3d8e2a6a2f38607f61d99268038a15f5f56d84b8183a4aeb91be,12/09/2024
17900-20F,10.0,01/24/2019,First Close,3bff2597e048b8241a23b6068e22ec76c6b39f973df61236d5dddbec6bf0e93e,12/09/2024
17925-31F,,07/31/2020,First Close,b26b7eb281a942b7e29ca848abf2f89a657497f8f0f625736e2eaa74c012f155,12/09/2024
17964-82F,5.78256947,03/26/2020,Final Close,034a81364aa82d531e5109217d7eeaae0cf65c79dc1e8cbf50943d08972686ea,12/09/2024
17964-82F,9.5162637,09/01/2014,First Close,9a20f82e1ea1fd92bcc3fb073b752e016511b2686cc30d2bf67021b98a19caa6,12/09/2024
17973-28F,80.0,10/07/2018,First Close,aca4b732eaa331d6234c559229a740d9e194cefcebb9558cb5361af7e998b911,12/09/2024
17974-54F,,09/10/2020,Final Close,81a83ae28af3d4df46194dcc3c22e5d4a47c9bf3ea18e95807db111ca17da5a7,12/09/2024
17989-75F,42.0,02/04/2021,Final Close,2fdb95d5a651c10f9ecb2dfb98d4a0d95ffca2f5a5b1f72cf895c600fd9d9183,12/09/2024
18006-58F,2.53556553,,Final Close,edd37da09547a29130a685f7c523b032b0b173ea67d8403e74284a8af9ae7b55,12/15/2024
18006-58F,0.84518851,,First Close,f6f7b4f941cde220d1b632e38bab9ce82c98a9c0fd54e1eab1b118583d1e2749,12/15/2024
18081-73F,25.0,10/06/2020,First Close,a6109a58668cfaefd12c957a69eca3acc9fcbc872cc7228c62d7a346b74411ca,12/09/2024
18085-87F,72.4,06/30/2022,Final Close,3fa285b407df0c2b0f267d969e19c8eed02fe5b9c44223944e3023ea415b36bb,12/09/2024
18086-59F,25.0,01/31/2022,Final Close,8db3fa29b786556de1f05a8316c492ff05de948f192083440f38e422fb8b6dd9,12/09/2024
18086-59F,2.0,01/10/2019,First Close,a8f4f20384a6401b384a2e3ea82fc0febb907aae3b36385ea007f3a1c4860007,12/09/2024
18136-54F,165.6205625,09/01/2020,Final Close,71a011e197e43bbfe1c03a15e7191a854d5e5e1a1f4447479b5649aa4b0bfbc6,12/11/2024
18679-96F,350.0,09/15/2022,Final Close,4aa48c09a1548e8a455021cc4313deea181d012490e415e5deaf6b163526c341,12/09/2024
18699-31F,12.0,05/06/2021,Final Close,a86467361655baedce3d9ec5cb62ea0c10219a4bebe3c5f36a0cbfaeccd6905c,12/09/2024
18721-36F,50.0,,First Close,96bee875c47c7998cd4f256e592292e74069889fa13857408bacaa4b0bc0444b,12/09/2024
18727-75F,264.725,09/07/2021,Final Close,84006247e580b12e091d31ef479d54b7de9b08e7dcdfe0a46d0a6805ca23cae6,12/09/2024
18767-35F,44.39503442,05/16/2021,First Close,98695811295c5ae2337cc3ab2695fb642802063c798f42b1dc1a0c935cc08c5a,12/09/2024
18778-42F,80.0,04/01/2020,Final Close,941de6b0f44c723e09b81ed581a3a6b7549413e1846b9217e71405e37fa391ad,12/09/2024
18778-78F,120.0,01/11/2018,Final Close,94908945561fc4bd9a2d35eff548831e92b24091d387df95fae1caad2259392e,12/09/2024
18809-38F,50.0,11/08/2021,Final Close,7f2d98c6bfeb1a1760d1a92fe249c908287102891ecfdd2059b78bbe3a40f8bb,12/09/2024
18820-09F,30.0,07/06/2021,Final Close,248a0816f9c40b08bcb5698800395fbbd1777ec99bcae9b495ca63711bf209c6,12/09/2024
18846-82F,100.0,,Final Close,6e46ec1ddedd7102754502ad67d779a3ef887f6824801a86803f0b5dfe9940df,12/09/2024
18851-68F,,12/31/2020,First Close,33f34de66ab499d93b8c77ab04910cba9d1f5fa23721db70461c3c653d55e1d1,12/09/2024
18865-45F,20.0,01/01/2020,Final Close,6fd3e6b04a791f569dafc77ba2e9eb424236f6024e9992d602c4429f3d2b81b3,12/09/2024
18867-70F,,06/12/2021,First Close,59ebb4298fd8281a6acfa677d7b7f9ce92c78d44ba4d0c631439d11e3c90ffbe,12/09/2024
18867-70F,40.0,07/14/2023,Final Close,6be1d241f6a539aa3d7afa81c85c85381df0b9b1acc357c6103b161811d766e0,12/09/2024
18876-88F,0.87,12/15/2017,Final Close,0d771b959d5f9180c06a57fb9ad90f2e6603d328f8a9a4db6096b8c800bad2f9,12/09/2024
18904-06F,25.0,08/25/2021,Final Close,872f7784d70821c63347dee0bb80be6b19cd507ee82e15f7ff2bf81627f53566,12/09/2024
19399-96F,31.0,10/31/2021,Final Close,55cbb568570845a1d440a54e8303fa3d9a8ef990e0dabaf3e33300199c0b7376,12/09/2024
19556-11F,45.0,07/01/2021,First Close,9f55c00b4f3ac8ebe504de26df652b32a75b5c438b7f1bd879d2e8df47c61d3e,12/09/2024
19690-84F,,04/22/2019,Final Close,876de7597922afe3932e07e507a74d17479aa1ba005f62f056054271e0e07d33,12/09/2024
19745-38F,194.47011369,,First Close,1a4dfc6e2ac8dd9efe0344fd8eb9632e6bd36b1984fb049de936f0a9742b45f5,12/15/2024
20246-41F,760.21346794,09/01/2021,First Close,277d27f575fcc7a70c7addce9fc5f2ab1f1a30d7c022973e678a623b3f94e3fd,12/09/2024
20301-22F,30.0,11/30/2021,Final Close,587973a99bcda832304583171d8cb7e49bc678399833e6bf38bebc1e4001d46b,12/09/2024
